id,name,type,typecode,address,tel,pcode,pname,citycode,cityname,adcode,adname,bigType,midType,smallType,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84
B0H14RTRLE,澳门奥迪中心,汽车维修;奥迪特约维修;一汽-大众奥迪维修|汽车销售;奥迪特约销售;一汽-大众奥迪销售,030401|020301,工业园南衔41-125号励澳综合大楼1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,奥迪特约维修,一汽-大众奥迪维修|汽车销售,113.540363,22.206254,113.53523405745656,22.20917604782976
B073D00BJY,嘉马汽车有限公司,汽车维修;大众特约维修;兰博基尼维修|汽车销售;汽车销售;汽车销售,030206|020000,渔翁街388号南丰工业大厦地下铺A座,00853-28767633,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,大众特约维修,兰博基尼维修|汽车销售,113.561735,22.201461,113.55666339526536,22.204428096619868
B0LBZAHMYF,ZEEKR澳门服务中心,汽车维修;汽车维修;汽车维修,030000,工业园南街与工业园大马路交叉口东北40米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车维修,汽车维修,113.540007,22.205978,113.53487699816782,22.208899052484075
B0KDY9Z1OY,车博士专业汽车维修中心,汽车维修;汽车综合维修;汽车综合维修,030100,"一楼,励澳工综合大楼,41-125号RSul do Parque Industrial,Macao",00853-28857592,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车综合维修,汽车综合维修,113.540007,22.205978,113.53487699816782,22.208899052484075
B0H1T7J59Y,宾利澳门,汽车维修;大众特约维修;宾利维修,030205,青洲工业园南街125号励澳综合大楼,00853-28721333,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,大众特约维修,宾利维修,113.540265,22.206052,113.53513577430394,22.2089737312593
B0J1JAV3DY,比亚迪(合迪)售后服务中心,汽车维修;汽车维修;汽车维修,030000,河边马路珠澳跨境工业区澳门园区励澳综合大楼102A,00853-28822822,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车维修,汽车维修,113.54014,22.20617,113.5350103886199,22.20909145503379
B0KR05DUZS,澳门特斯拉维修服务中心Macau Tesla Service,汽车维修;汽车综合维修;汽车综合维修,030100,工业园南街,00853-28578038,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车综合维修,汽车综合维修,113.540216,22.206072,113.53508662485466,22.208993614087586
B073D00BO8,巴黎车行,汽车维修;汽车维修;汽车维修,030000,青洲河边马路与青洲里交叉口东北80米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车维修,汽车维修,113.543802,22.207408,113.53868319858634,22.210338962185283
B0FFGM04L1,志荣拖车服务中心(机械部),汽车维修;汽车综合维修;汽车综合维修,030100,青洲河边马路162-166号志荣拖车服务中心A铺,00853-28270785,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车综合维修,汽车综合维修,113.543586,22.207217,113.53846657960256,22.21014737221596
B073D00BUM,利达车行,汽车维修;汽车维修;汽车维修,030000,青洲河边马路与青洲里交叉口东北40米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车维修,汽车维修,113.543471,22.207135,113.53835124820765,22.21006506421917
B0FFGYOVDT,友联成维修车行,汽车维修;汽车维修;汽车维修,030000,青洲里23号,00853-28931118,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车维修,汽车维修,113.543472,22.206643,113.53835228270368,22.209572899427624
B0FFGXM0O0,讯发汽车服务有限公司,汽车维修;汽车维修;汽车维修,030000,青洲里18号宝华工贸大厦地下E铺,00853-28719923;00853-66802963,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车维修,汽车维修,113.543687,22.206195,113.5385679405085,22.20912527038476
B073D00BUS,利骏车行,汽车维修;汽车维修;汽车维修,030000,青洲河边马路226号,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车维修,汽车维修,113.543168,22.206894,113.53804737473364,22.20982324232717
B073D00C1N,新永成汽车修理,汽车维修;汽车维修;汽车维修,030000,青洲河边马路与青洲新马路交叉口北20米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车维修,汽车维修,113.54472,22.209243,113.53960374762724,22.212176799562183
B073D00BUW,实力车行,汽车维修;汽车维修;汽车维修,030000,青洲河边马路280号,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车维修,汽车维修,113.542588,22.206738,113.53746567543288,22.209665765242235
B073D00FZ2,明志车行,汽车维修;汽车综合维修;汽车综合维修,030100,和乐围19号宏佳工业大厦,00853-28226234,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车综合维修,汽车综合维修,113.547051,22.206531,113.54194157336892,22.20946939102191
B073D00FOZ,捷威汽车修理厂,汽车维修;汽车综合维修;汽车综合维修,030100,和乐围19号宏佳工业大厦,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车综合维修,汽车综合维修,113.547111,22.206301,113.5420017570082,22.2092394523353
B073D00FOY,新东京汽车修理厂迅龙车行,汽车维修;汽车综合维修;汽车综合维修,030100,和乐围19号宏佳工业大厦,00853-28261311,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车综合维修,汽车综合维修,113.547127,22.206257,113.54201780484787,22.20919547455961
B0FFKHIYNJ,宾利澳门售后服务中心,汽车维修;汽车维修;汽车维修,030000,青州工业园南街125号励澳综合大楼R/C,00853-28721333;00853-62768989,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车维修,汽车维修,113.540879,22.206129,113.53575162019544,22.209052305457146
B0LAZCZFKP,Bentley Macau Service Centre,汽车维修;汽车维修;汽车维修,030000,工业园新街与工业园南街交叉口西北40米,00853-28721333,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车维修,汽车维修,113.540689,22.206313,113.5355610367884,22.209235890221617
B073D00HPG,建恒车行,汽车维修;汽车综合维修;汽车综合维修,030100,和乐坊二街与青洲街交叉口北20米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车综合维修,汽车综合维修,113.548723,22.206781,113.5436182193596,22.209723322490884
B073D00HPE,万胜车行,汽车维修;汽车综合维修;汽车综合维修,030100,和乐坊二街与青洲街交叉口东北20米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车综合维修,汽车综合维修,113.548748,22.206703,113.54364329335156,22.209645352790325
B073D00HPH,东一汽车美容站,汽车维修;汽车综合维修;汽车综合维修,030100,和乐坊二街与青洲街交叉口北40米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车综合维修,汽车综合维修,113.5487,22.206851,113.54359515138096,22.20979329399396
B0HA6CBO2C,燊安达汽车服务中心,汽车维修;汽车维修;汽车维修,030000,筷子基和乐坊一街59号宏泰工业大厦地下B座,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车维修,汽车维修,113.548826,22.206812,113.5437215015026,22.2097545670027
B073D00F2X,合诚汽车维修中心,汽车维修;汽车综合维修;汽车综合维修,030100,和乐坊一街与青洲街交叉口西北40米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,汽车维修,汽车综合维修,汽车综合维修,113.54885,22.206938,113.54374555958586,22.209880664298133
