id,name,type,typecode,address,tel,pcode,pname,citycode,cityname,adcode,adname,bigType,midType,smallType,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84
B0JA9RGH1D,六福珠宝(澳门新马路中段店),商务住宅;楼宇;商务写字楼|购物服务;专卖店;珠宝首饰工艺品,120201|061202,亚美打利庇卢大马路(新马路)119号地下至3楼全幢,00853-28355916,820000,澳门特别行政区,1853,澳门特别行政区,820005,风顺堂区,商务住宅,楼宇,商务写字楼|购物服务,113.545372,22.189804,113.5402588717714,22.192732619397365
B073D00FYZ,澳门街坊会联合总会青洲社区中心,商务住宅;住宅区;社区中心|商务住宅;住宅区;住宅小区|生活服务;生活服务场所;生活服务场所,120304|120302|070000,和乐大马路281号,00853-28225730;00853-28225914,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,商务住宅,住宅区,社区中心|商务住宅,113.547798,22.207652,113.54269059590148,22.21059250149417
B0FFFXD1RX,澳门大厦B座,商务住宅;楼宇;商务写字楼|住宿服务;宾馆酒店;宾馆酒店,120201|100100,牧场巷与菜园涌巷交叉口东南40米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,商务住宅,楼宇,商务写字楼|住宿服务,113.550846,22.211347,113.54574670986514,22.21429561620714
B073D0M4UD,南宁大厦(亚利鸦架街),商务住宅;楼宇;商务写字楼|住宿服务;宾馆酒店;宾馆酒店,120201|100100,亚利鸦架街38号,[],820000,澳门特别行政区,1853,澳门特别行政区,820002,花王堂区,商务住宅,楼宇,商务写字楼|住宿服务,113.550002,22.198423,113.54490125684973,22.20136532892891
B0FFG9EYFX,旧法院大楼,商务住宅;楼宇;商务写字楼|风景名胜;风景名胜相关;旅游景点,120201|110000,南湾大马路459号,00853-28396866,820000,澳门特别行政区,1853,澳门特别行政区,820005,风顺堂区,商务住宅,楼宇,商务写字楼|风景名胜,113.545044,22.189091,113.53992997447423,22.192018583379177
B0JA9RGH1D,六福珠宝(澳门新马路中段店),商务住宅;楼宇;商务写字楼|购物服务;专卖店;珠宝首饰工艺品,120201|061202,亚美打利庇卢大马路(新马路)119号地下至3楼全幢,00853-28355916,820000,澳门特别行政区,1853,澳门特别行政区,820005,风顺堂区,商务住宅,楼宇,商务写字楼|购物服务,113.545372,22.189804,113.5402588717714,22.192732619397365
B073D00FYZ,澳门街坊会联合总会青洲社区中心,商务住宅;住宅区;社区中心|商务住宅;住宅区;住宅小区|生活服务;生活服务场所;生活服务场所,120304|120302|070000,和乐大马路281号,00853-28225730;00853-28225914,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,商务住宅,住宅区,社区中心|商务住宅,113.547798,22.207652,113.54269059590148,22.21059250149417
B073D00FYZ,澳门街坊会联合总会青洲社区中心,商务住宅;住宅区;社区中心|商务住宅;住宅区;住宅小区|生活服务;生活服务场所;生活服务场所,120304|120302|070000,和乐大马路281号,00853-28225730;00853-28225914,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,商务住宅,住宅区,社区中心|商务住宅,113.547798,22.207652,113.54269059590148,22.21059250149417
B0FFFXD1RX,澳门大厦B座,商务住宅;楼宇;商务写字楼|住宿服务;宾馆酒店;宾馆酒店,120201|100100,牧场巷与菜园涌巷交叉口东南40米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,商务住宅,楼宇,商务写字楼|住宿服务,113.550846,22.211347,113.54574670986514,22.21429561620714
B0FFG9EYFX,旧法院大楼,商务住宅;楼宇;商务写字楼|风景名胜;风景名胜相关;旅游景点,120201|110000,南湾大马路459号,00853-28396866,820000,澳门特别行政区,1853,澳门特别行政区,820005,风顺堂区,商务住宅,楼宇,商务写字楼|风景名胜,113.545044,22.189091,113.53992997447423,22.192018583379177
B073D0M5O3,澳门伦敦人,商务住宅;楼宇;商务写字楼,120201,澳门路氹连贯公路澳门伦敦人3楼,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,商务住宅,楼宇,商务写字楼,113.570366,22.142878,113.56531615858836,22.1458374429032
