id,name,type,typecode,address,tel,pcode,pname,citycode,cityname,adcode,adname,bigType,midType,smallType,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84
B073D00D8D,澳门澳莱大三元酒店,住宿服务;宾馆酒店;三星级宾馆|餐饮服务;中餐厅;中餐厅,100104|050100,白眼塘横街(福隆下街)43-45号,00853-28938818,820000,澳门特别行政区,1853,澳门特别行政区,820005,风顺堂区,住宿服务,宾馆酒店,三星级宾馆|餐饮服务,113.542533,22.192201,113.53741144555704,22.195123589342053
B0KDY1VEPF,太阳饭店Sun Chinese Restaurant,住宿服务;宾馆酒店;宾馆酒店|餐饮服务;餐饮相关场所;餐饮相关,100100|050000,"地堡街No.21号,Chun Fok Village(wai Heng Kok)",00853-28576620,820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,住宿服务,宾馆酒店,宾馆酒店|餐饮服务,113.559831,22.148378,113.55475838098371,22.151322066756823
B0JK1CJSEQ,澳门客如云,住宿服务;宾馆酒店;宾馆酒店|餐饮服务;中餐厅;中餐厅,100100|050100,黑沙环第六街与高利亚海军上将大马路交叉口西北80米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,住宿服务,宾馆酒店,宾馆酒店|餐饮服务,113.557055,22.205699,113.55197205419844,22.20865869947399
B0JK1CH8M4,鑫钜园商务旅行,住宿服务;旅馆招待所;旅馆招待所|生活服务;生活服务场所;生活服务场所,100200|070000,比厘喇马忌士街与盐巷交叉口北40米,[],820000,澳门特别行政区,1853,澳门特别行政区,820005,风顺堂区,住宿服务,旅馆招待所,旅馆招待所|生活服务,113.538121,22.188509,113.53298635654905,22.191419127932875
B0JK3ZF8NF,荣光文旅,住宿服务;旅馆招待所;旅馆招待所|生活服务;生活服务场所;生活服务场所,100200|070000,万安街道红树林文创园2期C栋3楼,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,住宿服务,旅馆招待所,旅馆招待所|生活服务,113.553914,22.209628,113.54882289553647,22.212582630773785
B073D0MEF4,澳门文华东方酒店大堂酒廊,住宿服务;宾馆酒店;宾馆酒店|体育休闲服务;娱乐场所;酒吧,100100|080304,孙逸仙大马路路凼城澳门特别行政区,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,住宿服务,宾馆酒店,宾馆酒店|体育休闲服务,113.552058,22.181387,113.54696385672254,22.18432779041821
B073D00D8D,澳门澳莱大三元酒店,住宿服务;宾馆酒店;三星级宾馆|餐饮服务;中餐厅;中餐厅,100104|050100,白眼塘横街(福隆下街)43-45号,00853-28938818,820000,澳门特别行政区,1853,澳门特别行政区,820005,风顺堂区,住宿服务,宾馆酒店,三星级宾馆|餐饮服务,113.542533,22.192201,113.53741144555704,22.195123589342053
B0KDY1VEPF,太阳饭店Sun Chinese Restaurant,住宿服务;宾馆酒店;宾馆酒店|餐饮服务;餐饮相关场所;餐饮相关,100100|050000,"地堡街No.21号,Chun Fok Village(wai Heng Kok)",00853-28576620,820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,住宿服务,宾馆酒店,宾馆酒店|餐饮服务,113.559831,22.148378,113.55475838098371,22.151322066756823
B0JK1CH8M4,鑫钜园商务旅行,住宿服务;旅馆招待所;旅馆招待所|生活服务;生活服务场所;生活服务场所,100200|070000,比厘喇马忌士街与盐巷交叉口北40米,[],820000,澳门特别行政区,1853,澳门特别行政区,820005,风顺堂区,住宿服务,旅馆招待所,旅馆招待所|生活服务,113.538121,22.188509,113.53298635654905,22.191419127932875
B0JK3ZF8NF,荣光文旅,住宿服务;旅馆招待所;旅馆招待所|生活服务;生活服务场所;生活服务场所,100200|070000,万安街道红树林文创园2期C栋3楼,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,住宿服务,旅馆招待所,旅馆招待所|生活服务,113.553914,22.209628,113.54882289553647,22.212582630773785
