id,name,type,typecode,address,tel,pcode,pname,citycode,cityname,adcode,adname,bigType,midType,smallType,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84
B073D0M6JY,飞行车行有限公司,摩托车服务;摩托车销售;摩托车销售,040100,马统领巷13号,[],820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,摩托车服务,摩托车销售,摩托车销售,113.548701,22.188853,113.54359730650242,22.191789029774828
B0G31CYC90,夏巴维修中心,摩托车服务;摩托车维修;摩托车维修,040200,青洲工业园大马路272号励澳综合大楼,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车维修,摩托车维修,113.53973,22.206216,113.53459914241006,22.209136429832675
B0K279OMMJ,新兴电单车行,摩托车服务;摩托车销售;摩托车销售,040100,青洲街221号地下A,00853-28263349,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车销售,摩托车销售,113.547615,22.20607,113.54250718589084,22.20900954167224
B073D00GTU,新华电单车行,摩托车服务;摩托车维修;摩托车维修,040200,和乐大马路与石仔堆巷交叉口东北40米,00853-28220511,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车维修,摩托车维修,113.54826,22.207581,113.5431538864875,22.21052253814278
B0JRH1HQ6C,安泰车行服务中心,摩托车服务;摩托车服务相关;摩托车服务相关,040000,青洲河边马路与天竹巷交叉口南40米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车服务相关,摩托车服务相关,113.540578,22.20798,113.53544959532046,22.210903176780644
B0KA2CI88V,wurth车行,摩托车服务;摩托车服务相关;摩托车服务相关,040000,和乐坊二街79-131号,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车服务相关,摩托车服务相关,113.548776,22.20646,113.5436713861655,22.20940233374306
B073D00CWJ,茂名车行,摩托车服务;摩托车维修;摩托车维修,040200,青洲大马路与白朗古将军大马路交叉口西北40米,00853-28222123,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车维修,摩托车维修,113.549247,22.207804,113.54414359556816,22.21074785647669
B073D00HET,林晖车行,摩托车服务;摩托车销售;摩托车销售,040100,和乐坊二街与俾若翰街交叉口西北40米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车销售,摩托车销售,113.548886,22.205525,113.54378174927224,22.208467264833345
B073D00ASS,名车城汽车行,摩托车服务;摩托车销售;摩托车销售,040100,菜园涌北街180号,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车销售,摩托车销售,113.549822,22.211065,113.54471995800895,22.21401124873476
B0K3DZOJTH,泰阳车行Sun Racing,摩托车服务;摩托车服务相关;摩托车服务相关,040000,"RTres da Cidade Nova de Toi San,Macao",00853-66816797,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车服务相关,摩托车服务相关,113.550969,22.209494,113.54587015872414,22.21244226314484
B0KDY1UE91,Manwell Motorcycle Center,摩托车服务;摩托车销售;摩托车销售,040100,"MacaoAvdo AlmLacerda,178号F丽都大厦地下",00853-28481191,820000,澳门特别行政区,1853,澳门特别行政区,820002,花王堂区,摩托车服务,摩托车销售,摩托车销售,113.550922,22.204132,113.54582337578093,22.20707833696441
B0JK1CEBYZ,强记修车,摩托车服务;摩托车维修;摩托车维修,040200,菜园涌北街与菜园涌巷交叉口西南20米,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车维修,摩托车维修,113.550503,22.210907,113.54540281429556,22.213854711073783
B073D0M45F,大创车业,摩托车服务;摩托车销售;摩托车销售,040100,花地玛堂区半岛板樟堂13号信达堡地库1-4层,00853-28237000,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车销售,摩托车销售,113.551126,22.21046,113.54602751764848,22.21340893333201
B0KDY1W1VQ,万利车行,摩托车服务;摩托车销售;摩托车销售,040100,菜园涌边街,[],820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车销售,摩托车销售,113.551385,22.210696,113.546287194756,22.21364557945182
B073D00CXX,森美车行,摩托车服务;摩托车销售;摩托车销售,040100,澳门巴波沙大马路155-159号地下,00853-28233334,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车销售,摩托车销售,113.552495,22.208776,113.54740025714209,22.21172733455942
B0KDY9Z1MW,三阳机车服务部,摩托车服务;摩托车维修;摩托车维修,040200,"澳门美上校围2-58号,Edificio Mei Fu San Chuen Fase Ii",00853-66613235,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,摩托车服务,摩托车维修,摩托车维修,113.552314,22.203985,113.54721908733224,22.20693431505803
B073D00GSD,日昇车行,摩托车服务;摩托车销售;摩托车销售,040100,爹利仙拿姑娘街1-C,[],820000,澳门特别行政区,1853,澳门特别行政区,820002,花王堂区,摩托车服务,摩托车销售,摩托车销售,113.552522,22.20274,113.54742771420436,22.205689334574306
B0JK1CKNTV,泰机车业,摩托车服务;摩托车销售;摩托车销售,040100,福安街与大缆巷交叉口西南40米,[],820000,澳门特别行政区,1853,澳门特别行政区,820002,花王堂区,摩托车服务,摩托车销售,摩托车销售,113.545674,22.198033,113.54056120967046,22.20096523146304
