id,name,type,typecode,address,tel,pcode,pname,citycode,cityname,adcode,adname,bigType,midType,smallType,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84
B0KDY1UJUE,ISA Boutique-Macau Tower,购物服务;服装鞋帽皮具店;品牌服装店|汽车销售;汽车销售;汽车销售,061101|020000,"Convention&Entertainment Centre,LG/F Macau Tower,Macao",00853-28967880,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,购物服务,服装鞋帽皮具店,品牌服装店|汽车销售,113.542891,22.177049,113.53777147381672,22.179967015962408
B0KDY9UREC,新能源电单车贸易行,购物服务;专卖店;自行车专卖店|汽车销售;汽车销售;汽车销售,061208|020000,新马路缆厂巷芬记叉烧隔壁,00853-63711318,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,购物服务,专卖店,自行车专卖店|汽车销售,113.542769,22.193081,113.53764808615516,22.19600448092509
B0KUR1AAY9,新能源电单车贸易行,购物服务;专卖店;自行车专卖店|汽车销售;汽车销售;汽车销售,061208|020000,"59号Tvda Areia Preta,Macao",00853-63711318,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,购物服务,专卖店,自行车专卖店|汽车销售,113.554008,22.204964,113.54891743578764,22.20791724410436
B073D00CBO,永顺车行,购物服务;专卖店;自行车专卖店|摩托车服务;摩托车维修;摩托车维修,061208|040200,美副将大马路68号,00853-28515253,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,购物服务,专卖店,自行车专卖店|摩托车服务,113.551926,22.203837,113.54683007182923,22.20678542694619
B073D00G21,光明车行,购物服务;专卖店;自行车专卖店|摩托车服务;摩托车维修;摩托车维修,061208|040200,"澳门柯利维喇里,10号12号",[],820000,澳门特别行政区,1853,澳门特别行政区,820002,花王堂区,购物服务,专卖店,自行车专卖店|摩托车服务,113.548657,22.198416,113.54355257279812,22.20135529596735
B0FFJKWRYW,钜记手信(第十三分店),购物服务;购物相关场所;购物相关场所|餐饮服务;餐饮相关场所;餐饮相关,060000|050000,凼仔官也街46-50号,00853-28827839,820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,购物服务,购物相关场所,购物相关场所|餐饮服务,113.561741,22.151006,113.55667262404864,22.15395459776319
B0KB6RCFUK,Venchi(威尼斯人购物中心),购物服务;服装鞋帽皮具店;品牌服装店|餐饮服务;甜品店;甜品店,061101|050900,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,购物服务,服装鞋帽皮具店,品牌服装店|餐饮服务,113.564867,22.14596,113.55980584043904,22.148912065595542
B0K22CGQLO,ba&sh(威尼斯人购物中心),购物服务;服装鞋帽皮具店;品牌服装店|餐饮服务;餐饮相关场所;餐饮相关,061101|050000,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,购物服务,服装鞋帽皮具店,品牌服装店|餐饮服务,113.566708,22.14417,113.56165082300062,22.147124378449806
B0I1XCQX0X,汤丽柏琦(澳门伦敦人购物中心),购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;餐饮相关场所;餐饮相关,061100|050000,伦敦人购物中心二楼2002A号铺,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,购物服务,服装鞋帽皮具店,服装鞋帽皮具店|餐饮服务,113.569828,22.143191,113.56477710856907,22.1461497818072
B0KDY9ZMUR,Trigo dOuro,购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;餐饮相关场所;餐饮相关,061100|050000,和谐大马路与石排湾马路交叉口东南40米,[],820000,澳门特别行政区,1853,澳门特别行政区,820008,圣方济各堂区,购物服务,服装鞋帽皮具店,服装鞋帽皮具店|餐饮服务,113.564045,22.125914,113.55898334139204,22.12885668288612
B0KDY1UJUE,ISA Boutique-Macau Tower,购物服务;服装鞋帽皮具店;品牌服装店|汽车销售;汽车销售;汽车销售,061101|020000,"Convention&Entertainment Centre,LG/F Macau Tower,Macao",00853-28967880,820000,澳门特别行政区,1853,澳门特别行政区,820004,大堂区,购物服务,服装鞋帽皮具店,品牌服装店|汽车销售,113.542891,22.177049,113.53777147381672,22.179967015962408
B073D00CBO,永顺车行,购物服务;专卖店;自行车专卖店|摩托车服务;摩托车维修;摩托车维修,061208|040200,美副将大马路68号,00853-28515253,820000,澳门特别行政区,1853,澳门特别行政区,820001,花地玛堂区,购物服务,专卖店,自行车专卖店|摩托车服务,113.551926,22.203837,113.54683007182923,22.20678542694619
B073D00G21,光明车行,购物服务;专卖店;自行车专卖店|摩托车服务;摩托车维修;摩托车维修,061208|040200,"澳门柯利维喇里,10号12号",[],820000,澳门特别行政区,1853,澳门特别行政区,820002,花王堂区,购物服务,专卖店,自行车专卖店|摩托车服务,113.548657,22.198416,113.54355257279812,22.20135529596735
