id,name,type,typecode,address,tel,pcode,pname,citycode,cityname,adcode,adname,bigType,midType,smallType,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84
B0K2XL4EG2,无障碍洗手间(澳门伦敦人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,路凼连贯公路澳门伦敦人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.570255,22.142186,113.56520499103776,22.14514500949932
B0K2XL0DG9,公共厕所(澳门伦敦人购物中心),公共设施;公共厕所;公共厕所,200300,路凼连贯公路澳门伦敦人购物中心L2层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.56969,22.142526,113.56463888451344,22.14548431686005
B0K2XLED2S,公共厕所(澳门伦敦人购物中心),公共设施;公共厕所;公共厕所,200300,路凼连贯公路澳门伦敦人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.570079,22.142191,113.5650286542667,22.14514975542534
B0K2XLBTPW,无障碍洗手间(澳门伦敦人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,路凼连贯公路澳门伦敦人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.56978,22.142597,113.56472905376609,22.14555547740602
B0K2XL3RES,公共厕所(澳门伦敦人购物中心),公共设施;公共厕所;公共厕所,200300,路凼连贯公路澳门伦敦人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.570316,22.141976,113.56526612066568,22.144935015140785
B0K2XL9XD8,无障碍洗手间(澳门伦敦人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,路凼连贯公路澳门伦敦人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.570311,22.141936,113.56526111367964,22.144894992123763
B0K2XLED2Q,无障碍洗手间(澳门伦敦人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,路凼连贯公路澳门伦敦人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.570856,22.141169,113.56580719421054,22.14412847264866
B0K2XL8K3J,无障碍洗手间(澳门伦敦人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,路凼连贯公路澳门伦敦人购物中心L2层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.569742,22.142526,113.56469098495256,22.1454843935029
B0K22C7UCP,公共厕所(威尼斯人购物中心),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.567455,22.145578,113.5623992619658,22.14853411403301
B0K2XL7DX2,公共厕所(澳门伦敦人购物中心),公共设施;公共厕所;公共厕所,200300,路凼连贯公路澳门伦敦人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.570782,22.14118,113.56573305418162,22.144139371388828
B0K22CDC94,无障碍洗手间(威尼斯人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路威尼斯人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.567371,22.14562,113.56231508862028,22.14857599856415
B0K22CE6HY,公共厕所(威尼斯人购物中心),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路威尼斯人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.567373,22.145562,113.56231709637368,22.148517978993148
B0K2XLA56C,母婴室(澳门伦敦人购物中心),公共设施;公共厕所;婴儿换洗间/哺乳室/母婴室,200304,路凼连贯公路澳门伦敦人购物中心L2层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,婴儿换洗间/哺乳室/母婴室,113.570487,22.141187,113.56543749588946,22.14414595084688
B0K2XLED2R,公共厕所(澳门伦敦人购物中心),公共设施;公共厕所;公共厕所,200300,路凼连贯公路澳门伦敦人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.570643,22.14118,113.56559379181088,22.144139172393963
B0K22CBUPF,无障碍洗手间(威尼斯人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.567452,22.145513,113.56239626000642,22.148469083867685
B0K2XL6YIY,无障碍洗手间(澳门伦敦人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,路凼连贯公路澳门伦敦人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.570723,22.141181,113.56567394285658,22.1441402874188
B0K2XLCOAY,无障碍洗手间(澳门伦敦人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,路凼连贯公路澳门伦敦人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.570309,22.141451,113.56525914066587,22.14440979787124
B0K22CG3HL,电话(威尼斯人购物中心),公共设施;公用电话;公用电话,200200,望德圣母湾大马路威尼斯人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公用电话,公用电话,113.567673,22.144923,113.5626177451145,22.14787919832835
B0K22C6ZI9,无障碍洗手间(威尼斯人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.566878,22.146033,113.5618210545339,22.14898838010801
B0K2XLBE7O,公共厕所(澳门伦敦人购物中心),公共设施;公共厕所;公共厕所,200300,路凼连贯公路澳门伦敦人购物中心L2层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.570074,22.141462,113.56502369098196,22.144420460579468
B0K2XLBTPX,无障碍洗手间(澳门伦敦人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,路凼连贯公路澳门伦敦人购物中心L2层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.570032,22.141467,113.56498161016388,22.14442540124841
B0K2XLCOAZ,无障碍洗手间(澳门伦敦人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,路凼连贯公路澳门伦敦人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.570302,22.141356,113.56525213335937,22.144314750226528
B0K2XLCW1T,公共厕所(澳门伦敦人购物中心),公共设施;公共厕所;公共厕所,200300,路凼连贯公路澳门伦敦人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.570295,22.141308,113.56524512306628,22.14426672113095
B0K2XL4EFZ,公共厕所(澳门伦敦人购物中心),公共设施;公共厕所;公共厕所,200300,路凼连贯公路澳门伦敦人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.570303,22.141408,113.56525313196312,22.14436677220395
B0K22C7UCQ,无障碍洗手间(威尼斯人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.567348,22.144999,113.56229208130148,22.14795471905116
B0K22C4N0Q,公共厕所(威尼斯人购物中心),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路威尼斯人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.567114,22.145017,113.56205760286846,22.14797235685585
B0K22CEE22,公共厕所(迪斐世澳门四季名店),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路路凼金光大道四季名店迪斐世澳门四季名店L2层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.567425,22.143759,113.56236931664488,22.1467143532976
